date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:45	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2013%20Jun%202023%2014:40:45%20GMT	https://gsa-fertigung-de.webflow.io/robots.txt		(from )
14:40:46	31858/31858	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Jun%202023%2014:40:46%20GMT	https://gsa-fertigung-de.webflow.io/	/home/ubuntu/clone/sites/gsa-fertigung.de/website_clone/gsa-fertigung-de.webflow.io/index.html	(from )
14:40:47	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2013%20Jun%202023%2014:40:47%20GMT	https://gsa-fertigung-de.webflow.io/leistungen	/home/ubuntu/clone/sites/gsa-fertigung.de/website_clone/gsa-fertigung-de.webflow.io/leistungen	(from https://gsa-fertigung-de.webflow.io/)
14:40:48	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2013%20Jun%202023%2014:40:48%20GMT	https://gsa-fertigung-de.webflow.io/maschinenpark	/home/ubuntu/clone/sites/gsa-fertigung.de/website_clone/gsa-fertigung-de.webflow.io/maschinenpark	(from https://gsa-fertigung-de.webflow.io/)
14:40:49	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2013%20Jun%202023%2014:40:49%20GMT	https://gsa-fertigung-de.webflow.io/qualitat	/home/ubuntu/clone/sites/gsa-fertigung.de/website_clone/gsa-fertigung-de.webflow.io/qualitat	(from https://gsa-fertigung-de.webflow.io/)
14:40:50	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2013%20Jun%202023%2014:40:50%20GMT	https://gsa-fertigung-de.webflow.io/datenschutz	/home/ubuntu/clone/sites/gsa-fertigung.de/website_clone/gsa-fertigung-de.webflow.io/datenschutz	(from https://gsa-fertigung-de.webflow.io/)
14:40:51	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2013%20Jun%202023%2014:40:51%20GMT	https://gsa-fertigung-de.webflow.io/impressum	/home/ubuntu/clone/sites/gsa-fertigung.de/website_clone/gsa-fertigung-de.webflow.io/impressum	(from https://gsa-fertigung-de.webflow.io/)
14:40:52	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2013%20Jun%202023%2014:40:52%20GMT	https://gsa-fertigung-de.webflow.io/uber-uns	/home/ubuntu/clone/sites/gsa-fertigung.de/website_clone/gsa-fertigung-de.webflow.io/uber-uns	(from https://gsa-fertigung-de.webflow.io/)
14:40:53	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2013%20Jun%202023%2014:40:53%20GMT	https://gsa-fertigung-de.webflow.io/kontakt	/home/ubuntu/clone/sites/gsa-fertigung.de/website_clone/gsa-fertigung-de.webflow.io/kontakt	(from https://gsa-fertigung-de.webflow.io/)
14:40:54	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2013%20Jun%202023%2014:40:54%20GMT	https://gsa-fertigung-de.webflow.io/register	/home/ubuntu/clone/sites/gsa-fertigung.de/website_clone/gsa-fertigung-de.webflow.io/register	(from https://gsa-fertigung-de.webflow.io/)
14:40:55	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2013%20Jun%202023%2014:40:55%20GMT	https://gsa-fertigung-de.webflow.io/leistungen	/home/ubuntu/clone/sites/gsa-fertigung.de/website_clone/gsa-fertigung-de.webflow.io/leistungen	(from https://gsa-fertigung-de.webflow.io/)
14:40:56	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2013%20Jun%202023%2014:40:56%20GMT	https://gsa-fertigung-de.webflow.io/maschinenpark	/home/ubuntu/clone/sites/gsa-fertigung.de/website_clone/gsa-fertigung-de.webflow.io/maschinenpark	(from https://gsa-fertigung-de.webflow.io/)
14:40:57	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2013%20Jun%202023%2014:40:57%20GMT	https://gsa-fertigung-de.webflow.io/qualitat	/home/ubuntu/clone/sites/gsa-fertigung.de/website_clone/gsa-fertigung-de.webflow.io/qualitat	(from https://gsa-fertigung-de.webflow.io/)
